Blocks: '[0:82:1996:5:1, -1:82:1997:5:1, 0:82:1997:5:1, 1:82:1997:5:1, -2:82:1998:5:1,
  43:93:1969:172, 44:93:1969:172, 45:93:1969:172, -47:93:1970:172, -46:93:1970:172,
  -45:93:1970:172, -44:93:1970:172, -43:93:1970:172, -42:93:1970:172, -41:93:1970:172,
  -40:93:1970:172, -39:93:1970:172, 39:93:1970:172, 40:93:1970:172, 41:93:1970:172,
  42:93:1970:172, 43:93:1970:172, 44:93:1970:172, 45:93:1970:172, 46:93:1970:172,
  47:93:1970:172, -47:93:1971:172, -46:93:1971:172, -45:93:1971:172, -44:93:1971:172,
  -43:93:1971:172, -42:93:1971:172, -41:93:1971:172, -40:93:1971:172, -39:93:1971:172,
  39:93:1971:172, 40:93:1971:172, 41:93:1971:172, 42:93:1971:172, 43:93:1971:172,
  44:93:1971:172, 45:93:1971:172, 46:93:1971:172, 47:93:1971:172, -48:93:1972:172,
  -47:93:1972:172, -46:93:1972:172, -45:93:1972:172, -44:93:1972:172, -43:93:1972:172,
  -42:93:1972:172, -41:93:1972:172, -40:93:1972:172, -39:93:1972:172, -38:93:1972:172,
  38:93:1972:172, 39:93:1972:172, 40:93:1972:172, 41:93:1972:172, 42:93:1972:172,
  43:93:1972:172, 44:93:1972:172, 45:93:1972:172, 46:93:1972:172, 47:93:1972:172,
  48:93:1972:172, -48:93:1973:172, -47:93:1973:172, -46:93:1973:172, -45:93:1973:172,
  -44:93:1973:172, -43:93:1973:172, -42:93:1973:172, -41:93:1973:172, -40:93:1973:172,
  -39:93:1973:172, -38:93:1973:172, 38:93:1973:172, 39:93:1973:172, 40:93:1973:172,
  41:93:1973:172, 42:93:1973:172, 43:93:1973:172, 44:93:1973:172, 45:93:1973:172,
  46:93:1973:172, 47:93:1973:172, 48:93:1973:172, -49:93:1974:5:1, -48:93:1974:172,
  -47:93:1974:172, -46:93:1974:172, -45:93:1974:172, -44:93:1974:172, -43:93:1974:172,
  -42:93:1974:172, -41:93:1974:172, -40:93:1974:172, -39:93:1974:172, -38:93:1974:172,
  -37:93:1974:5:1, 37:93:1974:5:1, 38:93:1974:172, 39:93:1974:172, 40:93:1974:172,
  41:93:1974:172, 42:93:1974:172, 43:93:1974:172, 44:93:1974:172, 45:93:1974:172,
  46:93:1974:172, 47:93:1974:172, 48:93:1974:172, 49:93:1974:5:1, -48:93:1975:172,
  -47:93:1975:172, -46:93:1975:172, -45:93:1975:172, -44:93:1975:172, -43:93:1975:172,
  -42:93:1975:172, -41:93:1975:172, -40:93:1975:172, -39:93:1975:172, -38:93:1975:172,
  38:93:1975:172, 39:93:1975:172, 40:93:1975:172, 41:93:1975:172, 42:93:1975:172,
  43:93:1975:172, 44:93:1975:172, 45:93:1975:172, 46:93:1975:172, 47:93:1975:172,
  48:93:1975:172, -48:93:1976:172, -47:93:1976:172, -46:93:1976:172, -45:93:1976:172,
  -44:93:1976:172, -43:93:1976:172, -42:93:1976:172, -41:93:1976:172, -40:93:1976:172,
  -39:93:1976:172, -38:93:1976:172, 38:93:1976:172, 39:93:1976:172, 40:93:1976:172,
  41:93:1976:172, 42:93:1976:172, 43:93:1976:172, 44:93:1976:172, 45:93:1976:172,
  46:93:1976:172, 47:93:1976:172, 48:93:1976:172, -47:93:1977:172, -46:93:1977:172,
  -45:93:1977:172, -44:93:1977:172, -43:93:1977:172, -42:93:1977:172, -41:93:1977:172,
  -40:93:1977:172, -39:93:1977:172, 39:93:1977:172, 40:93:1977:172, 41:93:1977:172,
  42:93:1977:172, 43:93:1977:172, 44:93:1977:172, 45:93:1977:172, 46:93:1977:172,
  47:93:1977:172, -47:93:1978:172, -46:93:1978:172, -45:93:1978:172, -44:93:1978:172,
  -43:93:1978:172, -42:93:1978:172, -41:93:1978:172, -40:93:1978:172, -39:93:1978:172,
  39:93:1978:172, 40:93:1978:172, 41:93:1978:172, 42:93:1978:172, 43:93:1978:172,
  44:93:1978:172, 45:93:1978:172, 46:93:1978:172, 47:93:1978:172, -45:93:1979:172,
  -44:93:1979:172, -43:93:1979:172, -42:93:1979:172, -41:93:1979:172, 41:93:1979:172,
  42:93:1979:172, 43:93:1979:172, 44:93:1979:172, 45:93:1979:172, -43:93:1980:5:1,
  43:93:1980:5:1, -4:93:1986:5:1, -3:93:1986:5:1, -2:93:1986:5:1, -1:93:1986:5:1,
  0:93:1986:5:1, 1:93:1986:5:1, 2:93:1986:5:1, 3:93:1986:5:1, 4:93:1986:5:1, -6:93:1987:5:1,
  -5:93:1987:5:1, -4:93:1987:172, -3:93:1987:172, -2:93:1987:172, -1:93:1987:172,
  0:93:1987:172, 1:93:1987:172, 2:93:1987:172, 3:93:1987:172, 4:93:1987:172, 5:93:1987:5:1,
  6:93:1987:5:1, -8:93:1988:5:1, -7:93:1988:5:1, -6:93:1988:172, -5:93:1988:172, -4:93:1988:172,
  -3:93:1988:172, -2:93:1988:172, -1:93:1988:172, 0:93:1988:172, 1:93:1988:172, 2:93:1988:172,
  3:93:1988:172, 4:93:1988:172, 5:93:1988:172, 6:93:1988:172, 7:93:1988:5:1, 8:93:1988:5:1,
  -9:93:1989:5:1, -8:93:1989:172, -7:93:1989:172, -6:93:1989:172, -5:93:1989:172,
  -4:93:1989:172, -3:93:1989:172, -2:93:1989:172, -1:93:1989:172, 0:93:1989:172, 1:93:1989:172,
  2:93:1989:172, 3:93:1989:172, 4:93:1989:172, 5:93:1989:172, 6:93:1989:172, 7:93:1989:172,
  8:93:1989:172, 9:93:1989:5:1, -10:93:1990:5:1, -9:93:1990:172, -8:93:1990:172, -7:93:1990:172,
  -6:93:1990:172, -5:93:1990:172, -4:93:1990:172, -3:93:1990:172, -2:93:1990:172,
  -1:93:1990:172, 0:93:1990:172, 1:93:1990:172, 2:93:1990:172, 3:93:1990:172, 4:93:1990:172,
  5:93:1990:172, 6:93:1990:172, 7:93:1990:172, 8:93:1990:172, 9:93:1990:172, 10:93:1990:5:1,
  -11:93:1991:5:1, -10:93:1991:172, -9:93:1991:172, -8:93:1991:172, -7:93:1991:172,
  -6:93:1991:172, -5:93:1991:172, -4:93:1991:172, -3:93:1991:172, -2:93:1991:172,
  -1:93:1991:172, 0:93:1991:172, 1:93:1991:172, 2:93:1991:172, 3:93:1991:172, 4:93:1991:172,
  5:93:1991:172, 6:93:1991:172, 7:93:1991:172, 8:93:1991:172, 9:93:1991:172, 10:93:1991:172,
  11:93:1991:5:1, -12:93:1992:5:1, -11:93:1992:172, -10:93:1992:172, -9:93:1992:172,
  -8:93:1992:172, -7:93:1992:172, -6:93:1992:172, -5:93:1992:172, -4:93:1992:172,
  -3:93:1992:172, -2:93:1992:172, -1:93:1992:172, 0:93:1992:172, 1:93:1992:172, 2:93:1992:172,
  3:93:1992:172, 4:93:1992:172, 5:93:1992:172, 6:93:1992:172, 7:93:1992:172, 8:93:1992:172,
  9:93:1992:172, 10:93:1992:172, 11:93:1992:172, 12:93:1992:5:1, -12:93:1993:5:1,
  -11:93:1993:172, -10:93:1993:172, -9:93:1993:172, -8:93:1993:172, -7:93:1993:172,
  -6:93:1993:172, -5:93:1993:172, -4:93:1993:172, -3:93:1993:172, -2:93:1993:172,
  -1:93:1993:172, 0:93:1993:172, 1:93:1993:172, 2:93:1993:172, 3:93:1993:172, 4:93:1993:172,
  5:93:1993:172, 6:93:1993:172, 7:93:1993:172, 8:93:1993:172, 9:93:1993:172, 10:93:1993:172,
  11:93:1993:172, 12:93:1993:5:1, -50:93:1994:5:1, -13:93:1994:5:1, -12:93:1994:172,
  -11:93:1994:172, -10:93:1994:172, -9:93:1994:172, -8:93:1994:172, -7:93:1994:172,
  -6:93:1994:172, -5:93:1994:172, -4:93:1994:172, -3:93:1994:172, -2:93:1994:172,
  -1:93:1994:172, 0:93:1994:172, 1:93:1994:172, 2:93:1994:172, 3:93:1994:172, 4:93:1994:172,
  5:93:1994:172, 6:93:1994:172, 7:93:1994:172, 8:93:1994:172, 9:93:1994:172, 10:93:1994:172,
  11:93:1994:172, 12:93:1994:172, 13:93:1994:5:1, 50:93:1994:5:1, -52:93:1995:172,
  -51:93:1995:172, -50:93:1995:172, -49:93:1995:172, -48:93:1995:172, -13:93:1995:5:1,
  -12:93:1995:172, -11:93:1995:172, -10:93:1995:172, -9:93:1995:172, -8:93:1995:172,
  -7:93:1995:172, -6:93:1995:172, -5:93:1995:172, -4:93:1995:172, -3:93:1995:172,
  -2:93:1995:172, -1:93:1995:172, 0:93:1995:172, 1:93:1995:172, 2:93:1995:172, 3:93:1995:172,
  4:93:1995:172, 5:93:1995:172, 6:93:1995:172, 7:93:1995:172, 8:93:1995:172, 9:93:1995:172,
  10:93:1995:172, 11:93:1995:172, 12:93:1995:172, 13:93:1995:5:1, 48:93:1995:172,
  49:93:1995:172, 50:93:1995:172, 51:93:1995:172, 52:93:1995:172, -54:93:1996:172,
  -53:93:1996:172, -52:93:1996:172, -51:93:1996:172, -50:93:1996:172, -49:93:1996:172,
  -48:93:1996:172, -47:93:1996:172, -46:93:1996:172, -14:93:1996:5:1, -13:93:1996:172,
  -12:93:1996:172, -11:93:1996:172, -10:93:1996:172, -9:93:1996:172, -8:93:1996:172,
  -7:93:1996:172, -6:93:1996:172, -5:93:1996:172, -4:93:1996:172, -3:93:1996:172,
  -2:93:1996:172, -1:93:1996:172, 0:93:1996:172, 1:93:1996:172, 2:93:1996:172, 3:93:1996:172,
  4:93:1996:172, 5:93:1996:172, 6:93:1996:172, 7:93:1996:172, 8:93:1996:172, 9:93:1996:172,
  10:93:1996:172, 11:93:1996:172, 12:93:1996:172, 13:93:1996:172, 14:93:1996:5:1,
  46:93:1996:172, 47:93:1996:172, 48:93:1996:172, 49:93:1996:172, 50:93:1996:172,
  51:93:1996:172, 52:93:1996:172, 53:93:1996:172, 54:93:1996:172, -54:93:1997:172,
  -53:93:1997:172, -52:93:1997:172, -51:93:1997:172, -50:93:1997:172, -49:93:1997:172,
  -48:93:1997:172, -47:93:1997:172, -46:93:1997:172, -14:93:1997:5:1, -13:93:1997:172,
  -12:93:1997:172, -11:93:1997:172, -10:93:1997:172, -9:93:1997:172, -8:93:1997:172,
  -7:93:1997:172, -6:93:1997:172, -5:93:1997:172, -4:93:1997:172, -3:93:1997:172,
  -2:93:1997:172, -1:93:1997:172, 0:93:1997:172, 1:93:1997:172, 2:93:1997:172, 3:93:1997:172,
  4:93:1997:172, 5:93:1997:172, 6:93:1997:172, 7:93:1997:172, 8:93:1997:172, 9:93:1997:172,
  10:93:1997:172, 11:93:1997:172, 12:93:1997:172, 13:93:1997:172, 14:93:1997:5:1,
  46:93:1997:172, 47:93:1997:172, 48:93:1997:172, 49:93:1997:172, 50:93:1997:172,
  51:93:1997:172, 52:93:1997:172, 53:93:1997:172, 54:93:1997:172, -55:93:1998:172,
  -54:93:1998:172, -53:93:1998:172, -52:93:1998:172, -51:93:1998:172, -50:93:1998:172,
  -49:93:1998:172, -48:93:1998:172, -47:93:1998:172, -46:93:1998:172, -45:93:1998:172,
  -14:93:1998:5:1, -13:93:1998:172, -12:93:1998:172, -11:93:1998:172, -10:93:1998:172,
  -9:93:1998:172, -8:93:1998:172, -7:93:1998:172, -6:93:1998:172, -5:93:1998:172,
  -4:93:1998:172, -3:93:1998:172, -2:93:1998:172, -1:93:1998:172, 0:93:1998:172, 1:93:1998:172,
  2:93:1998:172, 3:93:1998:172, 4:93:1998:172, 5:93:1998:172, 6:93:1998:172, 7:93:1998:172,
  8:93:1998:172, 9:93:1998:172, 10:93:1998:172, 11:93:1998:172, 12:93:1998:172, 13:93:1998:172,
  14:93:1998:5:1, 45:93:1998:172, 46:93:1998:172, 47:93:1998:172, 48:93:1998:172,
  49:93:1998:172, 50:93:1998:172, 51:93:1998:172, 52:93:1998:172, 53:93:1998:172,
  54:93:1998:172, 55:93:1998:172, -55:93:1999:172, -54:93:1999:172, -53:93:1999:172,
  -52:93:1999:172, -51:93:1999:172, -50:93:1999:172, -49:93:1999:172, -48:93:1999:172,
  -47:93:1999:172, -46:93:1999:172, -45:93:1999:172, -14:93:1999:5:1, -13:93:1999:172,
  -12:93:1999:172, -11:93:1999:172, -10:93:1999:172, -9:93:1999:172, -8:93:1999:172,
  -7:93:1999:172, -6:93:1999:172, -5:93:1999:172, -4:93:1999:172, -3:93:1999:172,
  -2:93:1999:172, -1:93:1999:172, 0:93:1999:172, 1:93:1999:172, 2:93:1999:172, 3:93:1999:172,
  4:93:1999:172, 5:93:1999:172, 6:93:1999:172, 7:93:1999:172, 8:93:1999:172, 9:93:1999:172,
  10:93:1999:172, 11:93:1999:172, 12:93:1999:172, 13:93:1999:172, 14:93:1999:5:1,
  45:93:1999:172, 46:93:1999:172, 47:93:1999:172, 48:93:1999:172, 49:93:1999:172,
  50:93:1999:172, 51:93:1999:172, 52:93:1999:172, 53:93:1999:172, 54:93:1999:172,
  55:93:1999:172, -56:93:2000:5:1, -55:93:2000:172, -54:93:2000:172, -53:93:2000:172,
  -52:93:2000:172, -51:93:2000:172, -50:93:2000:172, -49:93:2000:172, -48:93:2000:172,
  -47:93:2000:172, -46:93:2000:172, -45:93:2000:172, -44:93:2000:5:1, -14:93:2000:5:1,
  -13:93:2000:172, -12:93:2000:172, -11:93:2000:172, -10:93:2000:172, -9:93:2000:172,
  -8:93:2000:172, -7:93:2000:172, -6:93:2000:172, -5:93:2000:172, -4:93:2000:172,
  -3:93:2000:172, -2:93:2000:172, -1:93:2000:172, 0:93:2000:172, 1:93:2000:172, 2:93:2000:172,
  3:93:2000:172, 4:93:2000:172, 5:93:2000:172, 6:93:2000:172, 7:93:2000:172, 8:93:2000:172,
  9:93:2000:172, 10:93:2000:172, 11:93:2000:172, 12:93:2000:172, 13:93:2000:172, 14:93:2000:5:1,
  44:93:2000:5:1, 45:93:2000:172, 46:93:2000:172, 47:93:2000:172, 48:93:2000:172,
  49:93:2000:172, 50:93:2000:172, 51:93:2000:172, 52:93:2000:172, 53:93:2000:172,
  54:93:2000:172, 55:93:2000:172, 56:93:2000:5:1, -55:93:2001:172, -54:93:2001:172,
  -53:93:2001:172, -52:93:2001:172, -51:93:2001:172, -50:93:2001:172, -49:93:2001:172,
  -48:93:2001:172, -47:93:2001:172, -46:93:2001:172, -45:93:2001:172, -14:93:2001:5:1,
  -13:93:2001:172, -12:93:2001:172, -11:93:2001:172, -10:93:2001:172, -9:93:2001:172,
  -8:93:2001:172, -7:93:2001:172, -6:93:2001:172, -5:93:2001:172, -4:93:2001:172,
  -3:93:2001:172, -2:93:2001:172, -1:93:2001:172, 0:93:2001:172, 1:93:2001:172, 2:93:2001:172,
  3:93:2001:172, 4:93:2001:172, 5:93:2001:172, 6:93:2001:172, 7:93:2001:172, 8:93:2001:172,
  9:93:2001:172, 10:93:2001:172, 11:93:2001:172, 12:93:2001:172, 13:93:2001:172, 14:93:2001:5:1,
  45:93:2001:172, 46:93:2001:172, 47:93:2001:172, 48:93:2001:172, 49:93:2001:172,
  50:93:2001:172, 51:93:2001:172, 52:93:2001:172, 53:93:2001:172, 54:93:2001:172,
  55:93:2001:172, -55:93:2002:172, -54:93:2002:172, -53:93:2002:172, -52:93:2002:172,
  -51:93:2002:172, -50:93:2002:172, -49:93:2002:172, -48:93:2002:172, -47:93:2002:172,
  -46:93:2002:172, -45:93:2002:172, -14:93:2002:5:1, -13:93:2002:172, -12:93:2002:172,
  -11:93:2002:172, -10:93:2002:172, -9:93:2002:172, -8:93:2002:172, -7:93:2002:172,
  -6:93:2002:172, -5:93:2002:172, -4:93:2002:172, -3:93:2002:172, -2:93:2002:172,
  -1:93:2002:172, 0:93:2002:172, 1:93:2002:172, 2:93:2002:172, 3:93:2002:172, 4:93:2002:172,
  5:93:2002:172, 6:93:2002:172, 7:93:2002:172, 8:93:2002:172, 9:93:2002:172, 10:93:2002:172,
  11:93:2002:172, 12:93:2002:172, 13:93:2002:172, 14:93:2002:5:1, 45:93:2002:172,
  46:93:2002:172, 47:93:2002:172, 48:93:2002:172, 49:93:2002:172, 50:93:2002:172,
  51:93:2002:172, 52:93:2002:172, 53:93:2002:172, 54:93:2002:172, 55:93:2002:172,
  -54:93:2003:172, -53:93:2003:172, -52:93:2003:172, -51:93:2003:172, -50:93:2003:172,
  -49:93:2003:172, -48:93:2003:172, -47:93:2003:172, -46:93:2003:172, -14:93:2003:5:1,
  -13:93:2003:172, -12:93:2003:172, -11:93:2003:172, -10:93:2003:172, -9:93:2003:172,
  -8:93:2003:172, -7:93:2003:172, -6:93:2003:172, -5:93:2003:172, -4:93:2003:172,
  -3:93:2003:172, -2:93:2003:172, -1:93:2003:172, 0:93:2003:172, 1:93:2003:172, 2:93:2003:172,
  3:93:2003:172, 4:93:2003:172, 5:93:2003:172, 6:93:2003:172, 7:93:2003:172, 8:93:2003:172,
  9:93:2003:172, 10:93:2003:172, 11:93:2003:172, 12:93:2003:172, 13:93:2003:172, 14:93:2003:5:1,
  46:93:2003:172, 47:93:2003:172, 48:93:2003:172, 49:93:2003:172, 50:93:2003:172,
  51:93:2003:172, 52:93:2003:172, 53:93:2003:172, 54:93:2003:172, -54:93:2004:172,
  -53:93:2004:172, -52:93:2004:172, -51:93:2004:172, -50:93:2004:172, -49:93:2004:172,
  -48:93:2004:172, -47:93:2004:172, -46:93:2004:172, -14:93:2004:5:1, -13:93:2004:172,
  -12:93:2004:172, -11:93:2004:172, -10:93:2004:172, -9:93:2004:172, -8:93:2004:172,
  -7:93:2004:172, -6:93:2004:172, -5:93:2004:172, -4:93:2004:172, -3:93:2004:172,
  -2:93:2004:172, -1:93:2004:172, 0:93:2004:172, 1:93:2004:172, 2:93:2004:172, 3:93:2004:172,
  4:93:2004:172, 5:93:2004:172, 6:93:2004:172, 7:93:2004:172, 8:93:2004:172, 9:93:2004:172,
  10:93:2004:172, 11:93:2004:172, 12:93:2004:172, 13:93:2004:172, 14:93:2004:5:1,
  46:93:2004:172, 47:93:2004:172, 48:93:2004:172, 49:93:2004:172, 50:93:2004:172,
  51:93:2004:172, 52:93:2004:172, 53:93:2004:172, 54:93:2004:172, -52:93:2005:172,
  -51:93:2005:172, -50:93:2005:172, -49:93:2005:172, -48:93:2005:172, -13:93:2005:5:1,
  -12:93:2005:172, -11:93:2005:172, -10:93:2005:172, -9:93:2005:172, -8:93:2005:172,
  -7:93:2005:172, -6:93:2005:172, -5:93:2005:172, -4:93:2005:172, -3:93:2005:172,
  -2:93:2005:172, -1:93:2005:172, 0:93:2005:172, 1:93:2005:172, 2:93:2005:172, 3:93:2005:172,
  4:93:2005:172, 5:93:2005:172, 6:93:2005:172, 7:93:2005:172, 8:93:2005:172, 9:93:2005:172,
  10:93:2005:172, 11:93:2005:172, 12:93:2005:172, 13:93:2005:5:1, 48:93:2005:172,
  49:93:2005:172, 50:93:2005:172, 51:93:2005:172, 52:93:2005:172, -50:93:2006:5:1,
  -13:93:2006:5:1, -12:93:2006:172, -11:93:2006:172, -10:93:2006:172, -9:93:2006:172,
  -8:93:2006:172, -7:93:2006:172, -6:93:2006:172, -5:93:2006:172, -4:93:2006:172,
  -3:93:2006:172, -2:93:2006:172, -1:93:2006:172, 0:93:2006:172, 1:93:2006:172, 2:93:2006:172,
  3:93:2006:172, 4:93:2006:172, 5:93:2006:172, 6:93:2006:172, 7:93:2006:172, 8:93:2006:172,
  9:93:2006:172, 10:93:2006:172, 11:93:2006:172, 12:93:2006:172, 13:93:2006:5:1, 50:93:2006:5:1,
  -12:93:2007:5:1, -11:93:2007:172, -10:93:2007:172, -9:93:2007:172, -8:93:2007:172,
  -7:93:2007:172, -6:93:2007:172, -5:93:2007:172, -4:93:2007:172, -3:93:2007:172,
  -2:93:2007:172, -1:93:2007:172, 0:93:2007:172, 1:93:2007:172, 2:93:2007:172, 3:93:2007:172,
  4:93:2007:172, 5:93:2007:172, 6:93:2007:172, 7:93:2007:172, 8:93:2007:172, 9:93:2007:172,
  10:93:2007:172, 11:93:2007:172, 12:93:2007:5:1, -12:93:2008:5:1, -11:93:2008:172,
  -10:93:2008:172, -9:93:2008:172, -8:93:2008:172, -7:93:2008:172, -6:93:2008:172,
  -5:93:2008:172, -4:93:2008:172, -3:93:2008:172, -2:93:2008:172, -1:93:2008:172,
  0:93:2008:172, 1:93:2008:172, 2:93:2008:172, 3:93:2008:172, 4:93:2008:172, 5:93:2008:172,
  6:93:2008:172, 7:93:2008:172, 8:93:2008:172, 9:93:2008:172, 10:93:2008:172, 11:93:2008:172,
  12:93:2008:5:1, -11:93:2009:5:1, -10:93:2009:172, -9:93:2009:172, -8:93:2009:172,
  -7:93:2009:172, -6:93:2009:172, -5:93:2009:172, -4:93:2009:172, -3:93:2009:172,
  -2:93:2009:172, -1:93:2009:172, 0:93:2009:172, 1:93:2009:172, 2:93:2009:172, 3:93:2009:172,
  4:93:2009:172, 5:93:2009:172, 6:93:2009:172, 7:93:2009:172, 8:93:2009:172, 9:93:2009:172,
  10:93:2009:172, 11:93:2009:5:1, -10:93:2010:5:1, -9:93:2010:172, -8:93:2010:172,
  -7:93:2010:172, -6:93:2010:172, -5:93:2010:172, -4:93:2010:172, -3:93:2010:172,
  -2:93:2010:172, -1:93:2010:172, 0:93:2010:172, 1:93:2010:172, 2:93:2010:172, 3:93:2010:172,
  4:93:2010:172, 5:93:2010:172, 6:93:2010:172, 7:93:2010:172, 8:93:2010:172, 9:93:2010:172,
  10:93:2010:5:1, -9:93:2011:5:1, -8:93:2011:172, -7:93:2011:172, -6:93:2011:172,
  -5:93:2011:172, -4:93:2011:172, -3:93:2011:172, -2:93:2011:172, -1:93:2011:172,
  0:93:2011:172, 1:93:2011:172, 2:93:2011:172, 3:93:2011:172, 4:93:2011:172, 5:93:2011:172,
  6:93:2011:172, 7:93:2011:172, 8:93:2011:172, 9:93:2011:5:1, -8:93:2012:5:1, -7:93:2012:5:1,
  -6:93:2012:172, -5:93:2012:172, -4:93:2012:172, -3:93:2012:172, -2:93:2012:172,
  -1:93:2012:172, 0:93:2012:172, 1:93:2012:172, 2:93:2012:172, 3:93:2012:172, 4:93:2012:172,
  5:93:2012:172, 6:93:2012:172, 7:93:2012:5:1, 8:93:2012:5:1, -6:93:2013:5:1, -5:93:2013:5:1,
  -4:93:2013:172, -3:93:2013:172, -2:93:2013:172, -1:93:2013:172, 0:93:2013:172, 1:93:2013:172,
  2:93:2013:172, 3:93:2013:172, 4:93:2013:172, 5:93:2013:5:1, 6:93:2013:5:1, -4:93:2014:5:1,
  -3:93:2014:5:1, -2:93:2014:5:1, -1:93:2014:5:1, 0:93:2014:5:1, 1:93:2014:5:1, 2:93:2014:5:1,
  3:93:2014:5:1, 4:93:2014:5:1, -43:93:2020:5:1, 43:93:2020:5:1, -45:93:2021:172,
  -44:93:2021:172, -43:93:2021:172, -42:93:2021:172, -41:93:2021:172, 41:93:2021:172,
  42:93:2021:172, 43:93:2021:172, 44:93:2021:172, 45:93:2021:172, -47:93:2022:172,
  -46:93:2022:172, -45:93:2022:172, -44:93:2022:172, -43:93:2022:172, -42:93:2022:172,
  -41:93:2022:172, -40:93:2022:172, -39:93:2022:172, 39:93:2022:172, 40:93:2022:172,
  41:93:2022:172, 42:93:2022:172, 43:93:2022:172, 44:93:2022:172, 45:93:2022:172,
  46:93:2022:172, 47:93:2022:172, -47:93:2023:172, -46:93:2023:172, -45:93:2023:172,
  -44:93:2023:172, -43:93:2023:172, -42:93:2023:172, -41:93:2023:172, -40:93:2023:172,
  -39:93:2023:172, 39:93:2023:172, 40:93:2023:172, 41:93:2023:172, 42:93:2023:172,
  43:93:2023:172, 44:93:2023:172, 45:93:2023:172, 46:93:2023:172, 47:93:2023:172,
  -48:93:2024:172, -47:93:2024:172, -46:93:2024:172, -45:93:2024:172, -44:93:2024:172,
  -43:93:2024:172, -42:93:2024:172, -41:93:2024:172, -40:93:2024:172, -39:93:2024:172,
  -38:93:2024:172, 38:93:2024:172, 39:93:2024:172, 40:93:2024:172, 41:93:2024:172,
  42:93:2024:172, 43:93:2024:172, 44:93:2024:172, 45:93:2024:172, 46:93:2024:172,
  47:93:2024:172, 48:93:2024:172, -48:93:2025:172, -47:93:2025:172, -46:93:2025:172,
  -45:93:2025:172, -44:93:2025:172, -43:93:2025:172, -42:93:2025:172, -41:93:2025:172,
  -40:93:2025:172, -39:93:2025:172, -38:93:2025:172, 38:93:2025:172, 39:93:2025:172,
  40:93:2025:172, 41:93:2025:172, 42:93:2025:172, 43:93:2025:172, 44:93:2025:172,
  45:93:2025:172, 46:93:2025:172, 47:93:2025:172, 48:93:2025:172, -49:93:2026:5:1,
  -48:93:2026:172, -47:93:2026:172, -46:93:2026:172, -45:93:2026:172, -44:93:2026:172,
  -43:93:2026:172, -42:93:2026:172, -41:93:2026:172, -40:93:2026:172, -39:93:2026:172,
  -38:93:2026:172, -37:93:2026:5:1, 37:93:2026:5:1, 38:93:2026:172, 39:93:2026:172,
  40:93:2026:172, 41:93:2026:172, 42:93:2026:172, 43:93:2026:172, 44:93:2026:172,
  45:93:2026:172, 46:93:2026:172, 47:93:2026:172, 48:93:2026:172, 49:93:2026:5:1,
  -48:93:2027:172, -47:93:2027:172, -46:93:2027:172, -45:93:2027:172, -44:93:2027:172,
  -43:93:2027:172, -42:93:2027:172, -41:93:2027:172, -40:93:2027:172, -39:93:2027:172,
  -38:93:2027:172, 38:93:2027:172, 39:93:2027:172, 40:93:2027:172, 41:93:2027:172,
  42:93:2027:172, 43:93:2027:172, 44:93:2027:172, 45:93:2027:172, 46:93:2027:172,
  47:93:2027:172, 48:93:2027:172, -48:93:2028:172, -47:93:2028:172, -46:93:2028:172,
  -45:93:2028:172, -44:93:2028:172, -43:93:2028:172, -42:93:2028:172, -41:93:2028:172,
  -40:93:2028:172, -39:93:2028:172, -38:93:2028:172, 38:93:2028:172, 39:93:2028:172,
  40:93:2028:172, 41:93:2028:172, 42:93:2028:172, 43:93:2028:172, 44:93:2028:172,
  45:93:2028:172, 46:93:2028:172, 47:93:2028:172, 48:93:2028:172, -47:93:2029:172,
  -46:93:2029:172, -45:93:2029:172, -44:93:2029:172, -43:93:2029:172, -42:93:2029:172,
  -41:93:2029:172, -40:93:2029:172, -39:93:2029:172, 39:93:2029:172, 40:93:2029:172,
  41:93:2029:172, 42:93:2029:172, 43:93:2029:172, 44:93:2029:172, 45:93:2029:172,
  46:93:2029:172, 47:93:2029:172, -47:93:2030:172, -46:93:2030:172, -45:93:2030:172,
  -44:93:2030:172, -43:93:2030:172, -42:93:2030:172, -41:93:2030:172, -40:93:2030:172,
  -39:93:2030:172, 39:93:2030:172, 40:93:2030:172, 41:93:2030:172, 42:93:2030:172,
  43:93:2030:172, 44:93:2030:172, 45:93:2030:172, 46:93:2030:172, 47:93:2030:172,
  -45:93:2031:172, -44:93:2031:172, -43:93:2031:172, -42:93:2031:172, -41:93:2031:172,
  41:93:2031:172, 42:93:2031:172, 43:93:2031:172, 44:93:2031:172, 45:93:2031:172,
  -43:93:2032:5:1, 43:93:2032:5:1, -26:93:2037:5:1, 26:93:2037:5:1, -28:93:2038:172,
  -27:93:2038:172, -26:93:2038:172, -25:93:2038:172, -24:93:2038:172, 24:93:2038:172,
  25:93:2038:172, 26:93:2038:172, 27:93:2038:172, 28:93:2038:172, -30:93:2039:172,
  -29:93:2039:172, -28:93:2039:172, -27:93:2039:172, -26:93:2039:172, -25:93:2039:172,
  -24:93:2039:172, -23:93:2039:172, -22:93:2039:172, 22:93:2039:172, 23:93:2039:172,
  24:93:2039:172, 25:93:2039:172, 26:93:2039:172, 27:93:2039:172, 28:93:2039:172,
  29:93:2039:172, 30:93:2039:172, -30:93:2040:172, -29:93:2040:172, -28:93:2040:172,
  -27:93:2040:172, -26:93:2040:172, -25:93:2040:172, -24:93:2040:172, -23:93:2040:172,
